race_id,date,venue,race_number,formation,first_numbers,second_numbers,third_numbers,decision,ticket_count,estimated_hit_rate,confidence,actual_hit,hit_ticket,stake_units,return_units,profit_units,first_back_max,first_chigire_max,first_p1_max,time_band,field_size,race_class_scope,prediction_gate_profile
20250528-81-02,2025-05-28,小倉,2,147-17-1347,147,17,1347,BUY,8,0.144654685781,B,False,1-7-5,8.0,0.0,-8.0,11.0,0.4025,0.30181990424,day,7,non_s,line_break_back_chigire_all
20250528-85-04,2025-05-28,佐世保,4,135-15-1257,135,15,1257,BUY,10,0.143254733928,B,True,5-1-7,10.0,3.8,-6.2,12.0,0.4743,0.362065310607,day,7,non_s,line_break_back_chigire_all
20250528-85-07,2025-05-28,佐世保,7,234-24-1245,234,24,1245,BUY,10,0.156127906591,B,True,4-2-5,10.0,2.5,-7.5,18.0,0.521,0.428480933139,day,7,non_s,line_break_back_chigire_all
20250529-21-05,2025-05-29,弥彦,5,145-15-1345,145,15,1345,BUY,8,0.146250156615,B,True,1-5-3,8.0,4.4,-3.5999999999999996,17.0,0.3317,0.269787576907,day,6,s,line_break_back_chigire_all
20250529-21-07,2025-05-29,弥彦,7,257-25-1257,257,25,1257,BUY,8,0.143030507384,B,False,2-7-1,8.0,0.0,-8.0,8.0,0.5228,0.266386622812,day,7,s,line_break_back_chigire_all
20250529-21-09,2025-05-29,弥彦,9,127-27-2347,127,27,2347,BUY,10,0.144465115505,B,False,7-6-1,10.0,0.0,-10.0,9.0,0.4047,0.290876320544,day,7,s,line_break_back_chigire_all
20250529-34-06,2025-05-29,川崎,6,123-13-1234,123,13,1234,BUY,8,0.173403029437,B,False,3-1-5,8.0,0.0,-8.0,17.0,0.382,0.330024165345,day,7,non_s,line_break_back_chigire_all
20250529-45-09,2025-05-29,豊橋,9,247-23-2347,247,23,2347,BUY,10,0.140911012659,B,True,7-2-3,10.0,6.7,-3.3,15.0,0.5123,0.293724026451,day,7,s,line_break_back_chigire_all
20250529-61-08,2025-05-29,玉野,8,123-12-1245,123,12,1245,BUY,10,0.139721254144,B,False,2-1-6,10.0,0.0,-10.0,14.0,0.3907,0.298777087474,day,7,non_s,line_break_back_chigire_all
20250529-71-03,2025-05-29,高松,3,125-25-2357,125,25,2357,BUY,10,0.179904100298,B,False,5-3-2,10.0,0.0,-10.0,10.0,0.434,0.334544450172,day,7,non_s,line_break_back_chigire_all
20250529-71-04,2025-05-29,高松,4,157-17-1247,157,17,1247,BUY,10,0.192794342364,A,True,7-1-4,10.0,2.4,-7.6,14.0,0.3382,0.369857420949,day,7,non_s,line_break_back_chigire_all
20250529-71-10,2025-05-29,高松,10,125-15-1457,125,15,1457,BUY,10,0.140213189635,B,True,5-1-7,10.0,4.8,-5.2,15.0,0.4462,0.309672362314,day,7,s,line_break_back_chigire_all
20250530-44-02,2025-05-30,大垣,2,345-35-1357,345,35,1357,BUY,10,0.163489776476,B,False,5-3-4,10.0,0.0,-10.0,19.0,0.351,0.434930565172,day,7,non_s,line_break_back_chigire_all
20250530-44-10,2025-05-30,大垣,10,157-15-1235,157,15,1235,BUY,10,0.183000926565,A,True,1-5-3,10.0,2.0,-8.0,13.0,0.2985,0.312847218441,day,7,non_s,line_break_back_chigire_all
20250530-53-03,2025-05-30,奈良,3,127-25-1257,127,25,1257,BUY,10,0.177800886267,B,True,1-2-5,10.0,7.0,-3.0,16.0,0.2133,0.432738447147,day,7,non_s,line_break_back_chigire_all
20250530-53-04,2025-05-30,奈良,4,245-25-1257,245,25,1257,BUY,10,0.153652815456,B,False,5-2-4,10.0,0.0,-10.0,24.0,0.3107,0.376655037637,day,7,non_s,line_break_back_chigire_all
20250530-53-09,2025-05-30,奈良,9,147-14-1245,147,14,1245,BUY,10,0.138925808292,B,True,4-1-5,10.0,12.4,2.4000000000000004,16.0,0.427,0.360858319988,day,7,non_s,line_break_back_chigire_all
20250530-53-10,2025-05-30,奈良,10,157-57-3457,157,57,3457,BUY,10,0.1441256978,B,False,5-7-1,10.0,0.0,-10.0,16.0,0.3802,0.360078499658,day,7,non_s,line_break_back_chigire_all
20250531-12-07,2025-05-31,青森,7,157-57-3457,157,57,3457,BUY,10,0.141829323955,B,False,5-1-7,10.0,0.0,-10.0,14.0,0.243,0.268383976588,day,7,non_s,line_break_back_chigire_all
20250531-34-02,2025-05-31,川崎,2,124-12-1235,124,12,1235,BUY,10,0.155319766509,B,False,1-6-3,10.0,0.0,-10.0,19.0,0.3575,0.293207200152,day,7,non_s,line_break_back_chigire_all
20250531-44-02,2025-05-31,大垣,2,245-25-1257,245,25,1257,BUY,10,0.139712728167,B,False,2-7-4,10.0,0.0,-10.0,8.0,0.5363,0.295077428299,day,7,non_s,line_break_back_chigire_all
20250531-44-04,2025-05-31,大垣,4,234-24-2457,234,24,2457,BUY,10,0.183334003581,A,False,2-6-4,10.0,0.0,-10.0,24.0,0.2413,0.367961626487,day,7,non_s,line_break_back_chigire_all
20250531-48-07,2025-05-31,四日市,7,134-13-1357,134,13,1357,BUY,10,0.138981752041,B,True,1-3-5,10.0,64.1,54.099999999999994,12.0,0.4065,0.306811986075,day,7,s,line_break_back_chigire_all
20250531-48-08,2025-05-31,四日市,8,125-15-1257,125,15,1257,BUY,8,0.143346328996,B,True,2-5-1,8.0,42.8,34.8,10.0,0.455,0.295327094695,day,7,s,line_break_back_chigire_all
20250531-48-10,2025-05-31,四日市,10,245-25-1257,245,25,1257,BUY,10,0.144710384167,B,True,2-5-7,10.0,2.4,-7.6,12.0,0.375,0.310852422767,day,7,s,line_break_back_chigire_all
20250531-48-11,2025-05-31,四日市,11,125-15-1345,125,15,1345,BUY,10,0.156229492989,B,True,1-5-4,10.0,5.0,-5.0,16.0,0.5105,0.307102674284,day,7,s,line_break_back_chigire_all
20250531-53-03,2025-05-31,奈良,3,257-27-1247,257,27,1247,BUY,10,0.151276176792,B,False,7-5-3,10.0,0.0,-10.0,16.0,0.2933,0.31670286046,day,7,non_s,line_break_back_chigire_all
20250531-71-01,2025-05-31,高松,1,125-25-2345,125,25,2345,BUY,10,0.163870356336,B,True,1-5-3,10.0,28.3,18.3,14.0,0.4725,0.264715248299,day,7,non_s,line_break_back_chigire_all
20250531-71-04,2025-05-31,高松,4,145-15-1257,145,15,1257,BUY,10,0.165363078299,B,True,5-1-7,10.0,2.1,-7.9,8.0,0.323,0.298801042557,day,7,non_s,line_break_back_chigire_all
20250601-31-03,2025-06-01,松戸,3,134-23-1234,134,23,1234,BUY,10,0.167932342205,B,False,1-2-5,10.0,0.0,-10.0,15.0,0.3942,0.315682030595,day,7,non_s,line_break_back_chigire_all
20250601-43-01,2025-06-01,岐阜,1,135-13-1234,135,13,1234,BUY,10,0.171251840483,B,True,3-1-4,10.0,9.0,-1.0,10.0,0.472,0.471987953289,day,6,non_s,line_break_back_chigire_all
20250601-43-02,2025-06-01,岐阜,2,123-12-1234,123,12,1234,BUY,8,0.157877231258,B,False,2-4-3,8.0,0.0,-8.0,9.0,0.3575,0.351510831709,day,6,non_s,line_break_back_chigire_all
20250601-44-04,2025-06-01,大垣,4,246-26-1246,246,26,1246,BUY,8,0.158603722358,B,False,2-4-6,8.0,0.0,-8.0,17.0,0.4965,0.329474785681,day,6,non_s,line_break_back_chigire_all
20250601-44-08,2025-06-01,大垣,8,125-25-2457,125,25,2457,BUY,10,0.144411851968,B,False,2-6-4,10.0,0.0,-10.0,16.0,0.3628,0.304157763368,day,7,non_s,line_break_back_chigire_all
20250601-84-03,2025-06-01,武雄,3,123-23-2345,123,23,2345,BUY,10,0.154348885028,B,False,2-3-1,10.0,0.0,-10.0,8.0,0.4253,0.343159162257,day,7,non_s,line_break_back_chigire_all
20250601-84-05,2025-06-01,武雄,5,125-25-1257,125,25,1257,BUY,8,0.187190841041,A,True,1-5-7,8.0,15.8,7.800000000000001,8.0,0.281,0.44915247749,day,7,non_s,line_break_back_chigire_all
20250601-84-07,2025-06-01,武雄,7,234-34-2345,234,34,2345,BUY,8,0.138863517199,B,True,4-3-2,8.0,1.4,-6.6,9.0,0.3733,0.39648606549,day,7,non_s,line_break_back_chigire_all
20250601-87-05,2025-06-01,熊本,5,123-12-1234,123,12,1234,BUY,8,0.14508512304,B,False,1-3-5,8.0,0.0,-8.0,14.0,0.4795,0.414872313371,day,7,non_s,line_break_back_chigire_all
20250601-87-07,2025-06-01,熊本,7,124-12-1235,124,12,1235,BUY,10,0.151705688928,B,False,1-2-4,10.0,0.0,-10.0,13.0,0.3768,0.489213010205,day,7,non_s,line_break_back_chigire_all
20250602-31-01,2025-06-02,松戸,1,123-12-1234,123,12,1234,BUY,8,0.150841501783,B,False,1-3-5,8.0,0.0,-8.0,10.0,0.34,0.306297885026,day,7,non_s,line_break_back_chigire_all
20250602-31-02,2025-06-02,松戸,2,123-12-1245,123,12,1245,BUY,10,0.179382531973,B,False,1-2-6,10.0,0.0,-10.0,15.0,0.4497,0.291824680495,day,7,non_s,line_break_back_chigire_all
20250602-43-01,2025-06-02,岐阜,1,124-24-1234,124,24,1234,BUY,8,0.180388421985,A,False,2-1-6,8.0,0.0,-8.0,9.0,0.4755,0.296904338834,day,6,non_s,line_break_back_chigire_all
20250602-43-02,2025-06-02,岐阜,2,124-12-1234,124,12,1234,BUY,8,0.172907369917,B,False,1-4-2,8.0,0.0,-8.0,16.0,0.4218,0.357312734669,day,6,non_s,line_break_back_chigire_all
20250602-51-02,2025-06-02,福井,2,127-27-1237,127,27,1237,BUY,8,0.18052414314,A,True,2-7-1,8.0,5.4,-2.5999999999999996,17.0,0.49,0.324359577846,day,7,non_s,line_break_back_chigire_all
20250602-51-11,2025-06-02,福井,11,134-45-1345,134,45,1345,BUY,10,0.171305814669,B,True,1-4-3,10.0,6.8,-3.2,12.0,0.4983,0.313410379419,day,7,s,line_break_back_chigire_all
20250602-83-03,2025-06-02,久留米,3,235-35-1235,235,35,1235,BUY,8,0.145882879332,B,False,3-5-7,8.0,0.0,-8.0,10.0,0.4515,0.307527372644,day,7,non_s,line_break_back_chigire_all
20250602-83-05,2025-06-02,久留米,5,347-47-2457,347,47,2457,BUY,10,0.140782414032,B,False,4-7-1,10.0,0.0,-10.0,18.0,0.4165,0.476840639272,day,7,non_s,line_break_back_chigire_all
20250602-83-08,2025-06-02,久留米,8,147-17-1457,147,17,1457,BUY,8,0.154438549533,B,True,1-7-4,8.0,11.6,3.5999999999999996,13.0,0.2863,0.330238962079,day,7,non_s,line_break_back_chigire_all
20250602-84-03,2025-06-02,武雄,3,257-57-1357,257,57,1357,BUY,10,0.144151711331,B,True,2-7-3,10.0,9.6,-0.40000000000000036,8.0,0.5105,0.254241979045,day,7,non_s,line_break_back_chigire_all
20250602-84-05,2025-06-02,武雄,5,127-27-1237,127,27,1237,BUY,8,0.142023207614,B,False,1-7-5,8.0,0.0,-8.0,8.0,0.2378,0.31267854437,day,7,non_s,line_break_back_chigire_all
20250602-87-01,2025-06-02,熊本,1,123-12-1245,123,12,1245,BUY,10,0.153219648228,B,False,1-4-2,10.0,0.0,-10.0,9.0,0.5105,0.276065752565,day,6,non_s,line_break_back_chigire_all
20250602-87-02,2025-06-02,熊本,2,124-12-1235,124,12,1235,BUY,10,0.18565387917,A,False,4-3-2,10.0,0.0,-10.0,10.0,0.4615,0.321887853922,day,6,non_s,line_break_back_chigire_all
20250603-11-06,2025-06-03,函館,6,135-13-1235,135,13,1235,BUY,8,0.194732317188,A,True,5-3-1,8.0,40.0,32.0,10.0,0.3055,0.263192450231,day,5,s,line_break_back_chigire_all
20250603-31-01,2025-06-03,松戸,1,124-12-1234,124,12,1234,BUY,8,0.147185973591,B,False,1-4-3,8.0,0.0,-8.0,10.0,0.4357,0.259348952585,day,7,non_s,line_break_back_chigire_all
20250603-46-04,2025-06-03,富山,4,157-15-1257,157,15,1257,BUY,8,0.171722896324,B,False,5-2-1,8.0,0.0,-8.0,20.0,0.4445,0.493819766012,day,7,non_s,line_break_back_chigire_all
20250603-46-07,2025-06-03,富山,7,245-25-1245,245,25,1245,BUY,8,0.153648412339,B,False,5-1-4,8.0,0.0,-8.0,12.0,0.3417,0.290896927809,day,7,non_s,line_break_back_chigire_all
20250603-51-06,2025-06-03,福井,6,124-24-1234,124,24,1234,BUY,8,0.158940306559,B,False,2-4-5,8.0,0.0,-8.0,16.0,0.4983,0.265209463247,day,6,s,line_break_back_chigire_all
20250603-83-11,2025-06-03,久留米,11,135-13-1237,135,13,1237,BUY,10,0.172207014166,B,False,2-1-5,10.0,0.0,-10.0,14.0,0.4655,0.32473062394,day,7,non_s,line_break_back_chigire_all
20250603-84-02,2025-06-03,武雄,2,125-25-2345,125,25,2345,BUY,10,0.208207320964,A,False,2-5-1,10.0,0.0,-10.0,8.0,0.597,0.367590536429,day,6,non_s,line_break_back_chigire_all
20250603-84-03,2025-06-03,武雄,3,245-24-2345,245,24,2345,BUY,8,0.175036744826,B,False,4-3-1,8.0,0.0,-8.0,8.0,0.3698,0.383940542078,day,6,non_s,line_break_back_chigire_all
20250604-46-07,2025-06-04,富山,7,125-12-1245,125,12,1245,BUY,8,0.143552204649,B,True,5-2-1,8.0,80.0,72.0,10.0,0.5158,0.256987786841,day,7,non_s,line_break_back_chigire_all
20250604-46-08,2025-06-04,富山,8,235-25-2357,235,25,2357,BUY,8,0.140387207512,B,True,5-2-7,8.0,8.6,0.5999999999999996,12.0,0.5555,0.367213671985,day,7,non_s,line_break_back_chigire_all
20250604-61-02,2025-06-04,玉野,2,123-12-1245,123,12,1245,BUY,10,0.170227334287,B,False,1-2-3,10.0,0.0,-10.0,11.0,0.41,0.355332700836,day,7,non_s,line_break_back_chigire_all
20250604-63-01,2025-06-04,防府,1,235-25-1257,235,25,1257,BUY,10,0.144416582305,B,True,5-2-7,10.0,6.2,-3.8,16.0,0.3213,0.304947579271,day,7,non_s,line_break_back_chigire_all
20250604-83-05,2025-06-04,久留米,5,147-17-1357,147,17,1357,BUY,10,0.1548557051,B,True,4-1-7,10.0,8.0,-2.0,8.0,0.4602,0.326228175212,day,7,non_s,line_break_back_chigire_all
20250605-12-05,2025-06-05,青森,5,145-14-1347,145,14,1347,BUY,10,0.1417492192,B,True,1-4-7,10.0,5.5,-4.5,10.0,0.3855,0.414203476232,day,7,non_s,line_break_back_chigire_all
20250605-12-07,2025-06-05,青森,7,135-35-1345,135,35,1345,BUY,8,0.190449518461,A,True,1-3-4,8.0,1.5,-6.5,13.0,0.34,0.535105395642,day,7,non_s,line_break_back_chigire_all
20250605-22-08,2025-06-05,前橋,8,134-12-1234,134,12,1234,BUY,10,0.154446254884,B,True,1-2-4,10.0,8.3,-1.6999999999999993,10.0,0.2898,0.317600409916,day,7,non_s,line_break_back_chigire_all
20250605-38-03,2025-06-05,静岡,3,123-13-1347,123,13,1347,BUY,10,0.15578369465,B,False,7-3-6,10.0,0.0,-10.0,10.0,0.361,0.33021104219,day,7,non_s,line_break_back_chigire_all
20250605-46-02,2025-06-05,富山,2,347-47-1347,347,47,1347,BUY,8,0.160825400107,B,False,1-6-4,8.0,0.0,-8.0,8.0,0.5853,0.292541982518,day,7,non_s,line_break_back_chigire_all
20250605-46-09,2025-06-05,富山,9,134-13-1237,134,13,1237,BUY,10,0.161609041401,B,False,1-3-6,10.0,0.0,-10.0,20.0,0.25,0.437369447443,day,7,non_s,line_break_back_chigire_all
20250606-12-05,2025-06-06,青森,5,135-15-1245,135,15,1245,BUY,10,0.142389443113,B,False,5-4-2,10.0,0.0,-10.0,12.0,0.3247,0.383236251956,day,7,non_s,line_break_back_chigire_all
20250606-12-07,2025-06-06,青森,7,127-17-1247,127,17,1247,BUY,8,0.138533550904,B,False,7-2-4,8.0,0.0,-8.0,13.0,0.2203,0.432853223226,day,7,non_s,line_break_back_chigire_all
20250606-38-05,2025-06-06,静岡,5,137-37-1357,137,37,1357,BUY,8,0.140727679903,B,False,1-7-4,8.0,0.0,-8.0,10.0,0.288,0.306425518048,day,7,non_s,line_break_back_chigire_all
20250606-44-01,2025-06-06,大垣,1,127-27-2457,127,27,2457,BUY,10,0.14138910251,B,True,1-2-7,10.0,37.5,27.5,21.0,0.396,0.278160244545,day,7,non_s,line_break_back_chigire_all
20250606-44-02,2025-06-06,大垣,2,257-25-2345,257,25,2345,BUY,10,0.143775767956,B,False,3-5-2,10.0,0.0,-10.0,14.0,0.2343,0.270101476082,day,7,non_s,line_break_back_chigire_all
20250606-44-06,2025-06-06,大垣,6,147-14-1345,147,14,1345,BUY,10,0.138455471486,B,False,1-7-4,10.0,0.0,-10.0,13.0,0.3855,0.267446682874,day,7,s,line_break_back_chigire_all
20250606-44-11,2025-06-06,大垣,11,245-45-2457,245,45,2457,BUY,8,0.156216295829,B,True,2-4-5,8.0,2.7,-5.3,13.0,0.3558,0.268519441192,day,7,s,line_break_back_chigire_all
20250607-11-01,2025-06-07,函館,1,123-12-1234,123,12,1234,BUY,8,0.14317098953,B,True,3-1-4,8.0,3.2,-4.8,9.0,0.3107,0.293819665286,day,7,non_s,line_break_back_chigire_all
20250607-11-02,2025-06-07,函館,2,123-12-1245,123,12,1245,BUY,10,0.174663301249,B,False,1-5-2,10.0,0.0,-10.0,13.0,0.351,0.369696087562,day,7,non_s,line_break_back_chigire_all
20250607-11-03,2025-06-07,函館,3,123-12-1245,123,12,1245,BUY,10,0.173767418155,B,True,1-2-4,10.0,11.2,1.1999999999999993,20.0,0.2308,0.431526710458,day,7,non_s,line_break_back_chigire_all
20250607-11-04,2025-06-07,函館,4,123-23-1234,123,23,1234,BUY,8,0.171524698783,B,True,1-3-2,8.0,4.7,-3.3,17.0,0.2238,0.507320527885,day,7,non_s,line_break_back_chigire_all
20250607-11-05,2025-06-07,函館,5,124-12-1235,124,12,1235,BUY,10,0.176125958395,B,False,3-1-2,10.0,0.0,-10.0,12.0,0.556,0.273250361427,day,7,non_s,line_break_back_chigire_all
20250607-44-06,2025-06-07,大垣,6,124-12-1234,124,12,1234,BUY,8,0.15234928992,B,True,2-1-3,8.0,13.9,5.9,11.0,0.549,0.3319441869,day,6,s,line_break_back_chigire_all
20250608-34-04,2025-06-08,川崎,4,123-12-1245,123,12,1245,BUY,10,0.164986569234,B,False,1-2-3,10.0,0.0,-10.0,16.0,0.2985,0.423861599864,day,7,non_s,line_break_back_chigire_all
20250608-34-08,2025-06-08,川崎,8,123-12-1245,123,12,1245,BUY,10,0.149134586968,B,False,6-1-7,10.0,0.0,-10.0,19.0,0.3907,0.290556319306,day,7,non_s,line_break_back_chigire_all
20250608-37-06,2025-06-08,伊東,6,257-57-1457,257,57,1457,BUY,10,0.156188158231,B,True,7-5-1,10.0,2.5,-7.5,9.0,0.257,0.360461486694,day,7,non_s,line_break_back_chigire_all
20250609-24-01,2025-06-09,宇都宮,1,234-34-3457,234,34,3457,BUY,10,0.159840420248,B,False,4-2-3,10.0,0.0,-10.0,9.0,0.3698,0.332063954915,day,7,non_s,line_break_back_chigire_all
20250609-24-03,2025-06-09,宇都宮,3,157-57-1357,157,57,1357,BUY,8,0.146126537816,B,True,7-5-1,8.0,2.8,-5.2,12.0,0.458,0.379572142597,day,7,non_s,line_break_back_chigire_all
20250609-24-07,2025-06-09,宇都宮,7,457-47-2347,457,47,2347,BUY,10,0.144685153201,B,False,4-3-7,10.0,0.0,-10.0,12.0,0.3785,0.286715757578,day,7,s,line_break_back_chigire_all
20250609-24-09,2025-06-09,宇都宮,9,247-27-1247,247,27,1247,BUY,8,0.143986994549,B,False,4-2-3,8.0,0.0,-8.0,14.0,0.347,0.289969735272,day,7,s,line_break_back_chigire_all
20250609-27-02,2025-06-09,京王閣,2,137-13-1235,137,13,1235,BUY,10,0.158766617269,B,False,3-1-4,10.0,0.0,-10.0,12.0,0.3838,0.377081417034,day,7,non_s,line_break_back_chigire_all
20250609-37-01,2025-06-09,伊東,1,135-35-3457,135,35,3457,BUY,10,0.161075609038,B,False,7-4-3,10.0,0.0,-10.0,16.0,0.486,0.29207355457,day,7,non_s,line_break_back_chigire_all
20250609-43-01,2025-06-09,岐阜,1,236-26-2356,236,26,2356,BUY,8,0.15682783325,B,True,6-2-3,8.0,4.4,-3.5999999999999996,20.0,0.2518,0.334017710311,day,6,non_s,line_break_back_chigire_all
20250609-43-08,2025-06-09,岐阜,8,247-27-2357,247,27,2357,BUY,10,0.158198411802,B,False,7-2-4,10.0,0.0,-10.0,14.0,0.4025,0.269387337682,day,7,non_s,line_break_back_chigire_all
20250609-43-09,2025-06-09,岐阜,9,137-37-1347,137,37,1347,BUY,8,0.139443123858,B,True,3-7-4,8.0,6.4,-1.5999999999999996,12.0,0.4392,0.335949076122,day,7,non_s,line_break_back_chigire_all
20250609-53-09,2025-06-09,奈良,9,345-35-2345,345,35,2345,BUY,8,0.172219525525,B,False,5-2-3,8.0,0.0,-8.0,12.0,0.3213,0.324052081209,day,6,s,line_break_back_chigire_all
20250609-85-05,2025-06-09,佐世保,5,237-37-2347,237,37,2347,BUY,8,0.13879283713,B,True,3-7-2,8.0,8.1,0.09999999999999964,18.0,0.2378,0.379102908022,day,7,non_s,line_break_back_chigire_all
20250610-21-05,2025-06-10,弥彦,5,123-12-1245,123,12,1245,BUY,10,0.175697198273,B,False,3-1-6,10.0,0.0,-10.0,16.0,0.347,0.302646569277,day,7,non_s,line_break_back_chigire_all
20250610-21-06,2025-06-10,弥彦,6,124-12-1235,124,12,1235,BUY,10,0.169108575532,B,False,1-2-4,10.0,0.0,-10.0,10.0,0.3523,0.340092263941,day,7,non_s,line_break_back_chigire_all
20250610-21-07,2025-06-10,弥彦,7,123-12-1234,123,12,1234,BUY,8,0.140929814392,B,False,4-1-3,8.0,0.0,-8.0,14.0,0.2915,0.280960107734,day,7,non_s,line_break_back_chigire_all
20250610-27-11,2025-06-10,京王閣,11,247-47-1247,247,47,1247,BUY,8,0.152217743881,B,True,4-7-1,8.0,72.4,64.4,16.0,0.25,0.271236854517,day,7,non_s,line_break_back_chigire_all
20250610-43-01,2025-06-10,岐阜,1,346-36-1346,346,36,1346,BUY,8,0.140816880524,B,True,6-3-4,8.0,4.0,-4.0,11.0,0.4405,0.294269568996,day,6,non_s,line_break_back_chigire_all
20250610-61-02,2025-06-10,玉野,2,135-35-3457,135,35,3457,BUY,10,0.188478457223,A,True,1-3-5,10.0,25.8,15.8,10.0,0.3488,0.262999538383,day,7,non_s,line_break_back_chigire_all
20250610-61-03,2025-06-10,玉野,3,134-13-1347,134,13,1347,BUY,8,0.167714226101,B,False,1-4-7,8.0,0.0,-8.0,15.0,0.5385,0.363525351482,day,7,non_s,line_break_back_chigire_all
20250610-61-04,2025-06-10,玉野,4,257-27-1257,257,27,1257,BUY,8,0.138403234489,B,True,2-7-1,8.0,6.7,-1.2999999999999998,15.0,0.4183,0.330615878338,day,7,non_s,line_break_back_chigire_all
20250610-61-11,2025-06-10,玉野,11,257-27-1257,257,27,1257,BUY,8,0.149618545737,B,True,7-2-1,8.0,5.8,-2.2,12.0,0.3715,0.344844172019,day,7,s,line_break_back_chigire_all
20250610-81-07,2025-06-10,小倉,7,123-12-1245,123,12,1245,BUY,10,0.174636662548,B,False,3-4-5,10.0,0.0,-10.0,10.0,0.3838,0.283482301095,day,7,non_s,line_break_back_chigire_all
20250610-85-01,2025-06-10,佐世保,1,234-24-1234,234,24,1234,BUY,8,0.14053750295,B,False,4-3-1,8.0,0.0,-8.0,18.0,0.3335,0.286530238212,day,6,non_s,line_break_back_chigire_all
20250610-85-02,2025-06-10,佐世保,2,235-35-2345,235,35,2345,BUY,8,0.191370600457,A,False,5-2-4,8.0,0.0,-8.0,27.0,0.3347,0.378261868214,day,6,non_s,line_break_back_chigire_all
20250610-85-06,2025-06-10,佐世保,6,135-13-1345,135,13,1345,BUY,8,0.138197820161,B,False,3-7-1,8.0,0.0,-8.0,10.0,0.2168,0.371793736237,day,7,non_s,line_break_back_chigire_all
20250611-21-04,2025-06-11,弥彦,4,124-12-1235,124,12,1235,BUY,10,0.155682644996,B,False,4-5-3,10.0,0.0,-10.0,10.0,0.4323,0.263583737576,day,7,non_s,line_break_back_chigire_all
20250611-21-06,2025-06-11,弥彦,6,134-12-1234,134,12,1234,BUY,10,0.149943673771,B,False,1-3-2,10.0,0.0,-10.0,16.0,0.4357,0.321043122066,day,7,non_s,line_break_back_chigire_all
20250611-24-05,2025-06-11,宇都宮,5,235-35-1345,235,35,1345,BUY,10,0.158371572891,B,False,3-2-5,10.0,0.0,-10.0,12.0,0.4948,0.334866422845,day,6,s,line_break_back_chigire_all
20250611-24-06,2025-06-11,宇都宮,6,136-13-1345,136,13,1345,BUY,10,0.162899622473,B,False,1-5-6,10.0,0.0,-10.0,9.0,0.559,0.298670782451,day,6,s,line_break_back_chigire_all
20250611-27-01,2025-06-11,京王閣,1,124-14-1234,124,14,1234,BUY,8,0.167755243395,B,False,4-1-6,8.0,0.0,-8.0,14.0,0.6058,0.339934265952,day,6,non_s,line_break_back_chigire_all
20250611-27-02,2025-06-11,京王閣,2,125-25-1235,125,25,1235,BUY,8,0.170552261646,B,False,2-3-4,8.0,0.0,-8.0,12.0,0.4007,0.289455909531,day,6,non_s,line_break_back_chigire_all
20250611-27-07,2025-06-11,京王閣,7,145-14-1345,145,14,1345,BUY,8,0.1666794057,B,False,2-6-3,8.0,0.0,-8.0,8.0,0.2255,0.456475580738,day,7,non_s,line_break_back_chigire_all
